card_no,term,definition,sg_chapter,sg_chapter_title,domain,domain_title,confidence,placed_in,reason
101,"If a message is signed and encrypted, what security services are you providing?","Confidentiality, integrity, authenticity/access control, and nonrepudiation",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,Sign encrypt security services nonrepudiation
102,"If a witness is not able to uniquely identify an object, how else may it be authenticated in court?",By establishing a chain of evidence,19,Investigations and Ethics,D7,Security Operations,HIGH,Ch 19,Chain of evidence court authentication
103,"If an incident has occurred that has violated no laws or regulations, how do you determine whether to report it?",The incident reporting guidelines should be in your security policy.,17,Preventing and Responding to Incidents,D7,Security Operations,MEDIUM,Ch 17,Incident reporting guidelines security policy
104,"In 2012, the committee overseeing the development of SHA‐3 made what announcement?","In 2012, the federal government design committee announced the selection of the Keccak algorithm as the SHA‐3 standard. However as of mid‐2015, the SHA‐3 standard remains in draft form and some technical details still require finalization.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,SHA-3 Keccak hash standard
105,"In legal and ethical contexts to describe different standards of behavior or decision‐making, especially related to risk management, what are prudent actions?","Prudent actions refer to actions or decisions that are marked by a high degree of caution, care, and foresight. They are characterized by careful consideration of potential risks, a focus on preventing harm, and a commitment to acting in a manner that is consistent with established best practices or industry standards.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Prudent actions risk management due care
106,"In legal and ethical contexts to describe different standards of behavior or decision‐making, especially related to risk management, what are reasonable actions?","Reasonable actions refer to actions or decisions that are in line with what a person of ordinary prudence and judgment would do in similar circumstances. These actions are based on the idea of acting in a manner that is sensible, rational, and consistent with societal norms and expectations. Reasonable actions are a standard often used in legal and ethical contexts to assess whether an individual's behavior or decisions meet a minimum threshold of acceptability.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Reasonable actions risk management standard
107,"In relation to auditing and monitoring, what is sampling?","Sampling, or data extraction, is the process of extracting specific elements from a large collection of data to construct a meaningful representation or summary of the whole. In other words, sampling is a form of data reduction that allows someone to glean valuable information by looking at only a small sample of data in an audit trail.",15,Security Assessment and Testing,D6,Security Assessment and Testing,MEDIUM,Ch 15,Sampling data extraction audit
108,"In relation to risk, what is a hazard?","Refers to a potential source or situation that has the capability to cause harm, loss, damage, injury, or adverse consequences to an organization, its assets, individuals, or the environment",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Hazard risk source definition
109,"In relation to storage media, what is clearing?","Clearing, or overwriting, is a process of preparing media for reuse and assuring that the cleared data cannot be recovered using traditional recovery tools. When media is cleared, unclassified data is written over all addressable locations on the media.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Clearing storage media overwriting
110,"In relation to storage media, what is declassification?","Declassification involves any process that purges media or a system in preparation for reuse in an unclassified environment. Purging can be used to prepare media for declassification, but often the efforts required to securely declassify media are significantly greater than the cost of new media for a less secure environment.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Declassification purging media reuse
111,"In relation to storage media, what is erasing?","Erasing media is simply performing a delete operation against a file, a selection of files, or the entire media. In most cases, the deletion or removal process removes only the directory or catalog link to the data. The actual data remains on the drive.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Erasing media delete operation
